idx,title,year,poster,status,tmdb_id
210,Adventureland,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1091722.jpg,downloaded,16614
211,Jennifer's Body,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1131734.jpg,downloaded,19994
212,Lars and the Real Girl,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0805564.jpg,downloaded,6615
213,Evan Almighty,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0413099.jpg,downloaded,2698
214,I Now Pronounce You Chuck & Larry,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0762107.jpg,downloaded,3563
215,Brüno,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0889583.jpg,downloaded,18480
216,A Serious Man,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1019452.jpg,downloaded,12573
217,The Invention of Lying,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1058017.jpg,downloaded,23082
218,It's Kind of a Funny Story,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0804497.jpg,downloaded,43923
219,She's Out of My League,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0815236.jpg,downloaded,34016
220,Hairspray,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0427327.jpg,downloaded,2976
221,Accepted,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0384793.jpg,downloaded,9788
222,The Break-Up,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0452594.jpg,downloaded,9767
223,Life as We Know It,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1055292.jpg,downloaded,38408
224,Clerks II,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0424345.jpg,downloaded,2295
225,The Men Who Stare at Goats,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1234548.jpg,downloaded,10313
226,Mr. Bean's Holiday,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0453451.jpg,downloaded,1268
227,The Kids Are All Right,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0842926.jpg,downloaded,39781
228,Scary Movie 4,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0362120.jpg,downloaded,4257
229,Sex and the City,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1000774.jpg,downloaded,4564
230,Valentine's Day,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0817230.jpg,downloaded,32856
